,LineagesH,LineagesL,LineagesP,ProportionIH,ProportionIL,ProportionIP
ChutesdeKoudou,4.582575695,2.828427125,4,-1.374,-2.13,-0.809
PointTriplo,3.16227766,1.414213562,2.449489743,-0.381,-3.44,-1.272
DogoForest,3.464101615,1,3.464101615,-1.099,-3.44,0
LamaForest,1.414213562,0,2,-2.602,-6.91,-0.8
LakeToho,1.732050808,1,2.449489743,-1.503,-3.06,-0.18
