,bio1_AnMeanTemp,bio2_MeanDiurnRange,bio3_Isothermality,bio4_TempSeasonality,bio5_MaxTempWarmestMonth,bio6_MinTempColdestMonth,bio7_TempAnnRange,bio8_MeanTempWettestQuar,bio9_MeantTempDriestQuar,bio10_MeanTempWarmestQuar,bio11_MeanTempColdestQuar,bio12_AnnualPrecip,bio13_PrecipWettestMonth,bio14_PrecipDriestMonth,bio15_PrecipSeasonality,bio16_PrecipWettestQuar,bio17_PrecipDriestQuar,bio18_PrecipWarmestQuar,bio19_PrecipColdestQuar,annualPET,aridityIndexThornthwaite,climaticMoistureIndex,continentality,embergerQ,growingDegDays0,growingDegDays5,maxTempColdest,minTempWarmest,PETColdestQuarter,PETDriestQuarter,PETseasonality,PETWarmestQuarter,PETWettestQuarter,thermicityIndex,tmax_Apr,tmax_May,tmax_June,tmin_Apr,tmin_May,tmin_June,tavg_Apr,tavg_May,tavg_June,vapr_Apr,vapr_May,vapr_June,wind_Apr,wind_May,wind_June,prec_Apr,prec_May,srad,topoWet,tri
ChutesdeKoudou,1.464328061,1.148962372,1.826848926,2.361436001,1.580924958,1.262451072,1.318063319,1.435897431,1.443002071,1.512328565,1.435897431,2.925827575,2.36361198,0,2.076430009,2.763427994,0.301029996,2.029383778,2.763427994,3.298936,1.922725442,-0.366531537,0.897627097,2.112001389,5.085928882,5.085928882,2.532754379,2.413299764,2.204770951,2.21327864,3.294413316,2.282146112,2.157940058,2.8876173,1.580924958,1.559906616,1.53275436,1.462397998,1.434568916,1.397940009,1.525044807,1.50242711,1.469822016,0.460897841,0.540329478,0.561101396,0.556302489,0.556302489,0.56820173,1.397940009,1.886490725,4.308201461,1.117271308,1.010723865
PointTriplo,1.468716477,1.161368012,1.820972062,2.384924113,1.589949618,1.260071406,1.336459749,1.442218383,1.437750572,1.518294555,1.437750572,2.893761762,2.342422681,0,2.084787457,2.737192643,0.301029996,1.968482949,0.301029996,3.300971358,1.93181371,-0.397940035,0.919078102,2.073571725,5.088996734,5.088996734,2.530199698,2.416640507,2.2024883,2.209756212,3.294768142,2.286568727,2.163221012,2.889861721,1.589949618,1.57287162,1.545307098,1.463892995,1.439332694,1.403120508,1.531478917,1.510545005,1.480006954,0.450249116,0.53655845,0.559906639,0.544068044,0.556302489,0.579783591,1.322219295,1.832508913,4.309054985,1.138302698,0.62838893
DogoForest,1.446640702,1.045322969,1.84620153,2.190199799,1.53907608,1.301029996,1.193124556,1.414416206,1.455606106,1.474701771,1.414416206,3.061075324,2.26245109,0.77815125,1.853982951,2.694605199,1.531478917,2.305351369,2.694605199,3.251528733,1.79712899,-0.200659454,0.716003328,2.407951474,5.071252192,5.071252192,2.465382851,2.359835482,2.115776886,2.177940305,3.180982715,2.229988855,2.115776886,2.862131379,1.528916691,1.517195893,1.498310554,1.394451668,1.378397894,1.352182518,1.466867609,1.453318334,1.431363764,0.589949613,0.588831738,0.578639206,0.477121255,0.380211237,0.380211237,2.071882007,2.149219113,4.242367477,1.095518044,1.117933831
LamaForest,1.449092529,1.004321363,1.847977493,2.140573333,1.53275436,1.322219295,1.149219066,1.452297676,1.457629616,1.4737302,1.420780621,2.999130541,2.227886705,0.84509804,1.815716036,2.630427875,1.633468456,2.346352974,2.498310554,3.232360712,1.738146098,-0.207608307,0.711807237,2.413299764,5.078358928,5.078358928,2.46834733,2.383815366,2.104726033,2.173069683,3.115700363,2.206502071,2.165392745,2.869525063,1.523746487,1.514547763,1.495544327,1.401400554,1.38738982,1.361727836,1.466867609,1.45484486,1.432969297,0.603144372,0.599883074,0.589949613,0.447158024,0.397940009,0.361727827,2.068185862,2.155336037,4.27198093,1.153204886,0.812913357
LakeToho,1.451978221,0.903542143,1.82281152,2.094824282,1.519827974,1.350248011,1.068185819,1.457881899,1.462896902,1.474216262,1.426240088,3.055760465,2.436162647,1,1.906000275,2.758154622,1.748188027,2.356025857,2.450249108,3.162343323,1.767897605,-0.107905397,0.643452686,2.58161973,5.072444753,5.072444753,2.45484486,2.404833717,2.040087836,2.099542536,2.993228967,2.127104798,2.102913696,2.86332286,1.514547763,1.505149978,1.487138386,1.423245874,1.411619693,1.389166084,1.471291717,1.460897837,1.440909088,0.620136063,0.614897204,0.600972897,0.505149985,0.491361681,0.477121255,2.089905111,2.252853031,4.263067682,1.15775889,0.67669361
